Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Fabio Agu,,https://www.ufc.com/athlete/fabio-agu,Middleweight Division,0-0-0 (W-L-D),Active,,,35,,,"Apr. 20, 2023",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Marcello Aguiar,,https://www.ufc.com/athlete/marcello-aguiar,Welterweight Division,0-0-0 (W-L-D),Not Fighting,Brazil,,,72.00,200.00,"Jun. 09, 2000",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Kevin Aguilar,Angel of Death,https://www.ufc.com/athlete/kevin-aguilar,Featherweight Division,17-5-0 (W-L-D),Not Fighting,"Gladewater, United States",Team 515,34,67.00,145.00,"Nov. 30, 2018",72.00,370,924,,6,3.96,4.81,0.16,0.00,52%,79%,0.32,800,321,29,20,9,6,2,224,61%,126,34%,20,5%,NA,MMA,38.00,17,5,0
Jesus Aguilar,,https://www.ufc.com/athlete/jesus-aguilar,Flyweight Division,8-2-0 (W-L-D),Active,"Ensenada, Mexico",,26,64.00,125.00,"Feb. 04, 2023",62.50,26,54,,8,1.60,0.92,2.77,1.84,65%,NA,0.00,488,10,2,14,0,2,6,19,73%,3,12%,4,15%,2,Freestyle,36.00,8,2,0
Jessica Aguilar,Jag,https://www.ufc.com/athlete/jessica-aguilar,Women's Strawweight Division,20-8-0 (W-L-D),Not Fighting,"Houston, United States","American Top Team ATT Coconut Creek, FL",40,63.00,115.30,"Aug. 01, 2015",63.00,314,620,4,16,4.93,7.19,0.94,0.24,54%,50%,0.00,764,194,96,24,3,10,7,168,54%,88,28%,58,18%,NA,,35.50,20,8,0
Christian Aguilera,The Beast,https://www.ufc.com/athlete/christian-aguilera,Welterweight Division,14-8-0 (W-L-D),Not Fighting,"Whittier, United States",,31,69.00,170.50,"Jun. 13, 2020",72.00,27,72,,1,2.54,4.04,0.00,0.00,49%,60%,0.00,213,27,0,0,11,4,0,16,59%,3,11%,8,30%,NA,Boxing,40.00,14,8,0
Nick Aguirre,Slick ,https://www.ufc.com/athlete/nick-aguirre,Featherweight Division,7-1-0 (W-L-D),Active,"Cicero, United States",,27,69.00,145.50,"Jan. 14, 2023",74.00,14,44,,,0.93,3.13,0.00,1.00,45%,33%,0.00,900,13,1,0,3,0,4,14,100%,0,0%,0,0%,6,Freestyle,40.00,7,1,0
Ashiek Ajim,,https://www.ufc.com/athlete/ashiek-ajim,Bantamweight Division,0-1-0 (W-L-D),Active,,,28,,135.50,"Apr. 20, 2023",,4,10,,,5.00,11.25,0.00,0.00,25%,NA,0.00,48,4,0,0,0,0,0,2,50%,0,0%,2,50%,NA,,,0,1,0
Omari Akhmedov,Wolverine,https://www.ufc.com/athlete/omari-akhmedov,Middleweight Division,21-6-1 (W-L-D),Not Fighting,"Dagestan Republic, Russia",Dag Fighter Team,35,72.00,185.50,"Nov. 09, 2013",73.00,535,1556,19,68,2.97,2.84,2.58,0.25,56%,66%,0.17,721,389,65,81,7,8,6,383,72%,89,17%,63,12%,NA,Kickboxer,40.50,21,6,1
Yoshihiro Akiyama,Sexyama,https://www.ufc.com/athlete/yoshihiro-akiyama,Welterweight Division,15-6-0 (W-L-D),Not Fighting,Japan,Cloud Akiyama,47,70.00,170.00,"Jul. 11, 2009",73.50,466,1122,12,34,3.10,3.62,2.29,1.00,58%,93%,0.40,410,316,28,122,0,0,0,374,80%,27,6%,65,14%,NA,,42.00,15,6,0
