,Event,Date,Name,Opponent,5D_odds,Ref_odds
0,UFC Fight Night: Ladd vs. Dumont,October 16th,Aspen Ladd,Norma Dumont,-137▼,-142▼
1,UFC Fight Night: Ladd vs. Dumont,October 16th,Norma Dumont,Aspen Ladd,+117▼,+122▲
2,UFC Fight Night: Ladd vs. Dumont,October 16th,Andrei Arlovski,Carlos Felipe,+110▼,+105▼
3,UFC Fight Night: Ladd vs. Dumont,October 16th,Carlos Felipe,Andrei Arlovski,-130▼,-125▲
4,UFC Fight Night: Ladd vs. Dumont,October 16th,Erick Gonzalez,Jim Miller,+245▼,+260▼
5,UFC Fight Night: Ladd vs. Dumont,October 16th,Jim Miller,Erick Gonzalez,-290▼,-310▲
6,UFC Fight Night: Ladd vs. Dumont,October 16th,Manon Fiorot,Mayra Bueno,-320▼,-340▼
7,UFC Fight Night: Ladd vs. Dumont,October 16th,Mayra Bueno,Manon Fiorot,+260▼,+280▲
8,UFC Fight Night: Ladd vs. Dumont,October 16th,Ludovit Klein,Nate Landwehr,-335▼,-362▲
9,UFC Fight Night: Ladd vs. Dumont,October 16th,Nate Landwehr,Ludovit Klein,+275▼,+297▼
10,UFC Fight Night: Ladd vs. Dumont,October 16th,Andrew Sanchez,Bruno Silva,+142▼,+142▲
11,UFC Fight Night: Ladd vs. Dumont,October 16th,Bruno Silva,Andrew Sanchez,-162▼,-162▼
12,UFC Fight Night: Ladd vs. Dumont,October 16th,Danny Roberts,Ramazan Emeev,+245▼,+240▼
13,UFC Fight Night: Ladd vs. Dumont,October 16th,Ramazan Emeev,Danny Roberts,-290▼,-280▲
14,UFC Fight Night: Ladd vs. Dumont,October 16th,Luana Carolina,Lupita Godinez,+185▼,+205▲
15,UFC Fight Night: Ladd vs. Dumont,October 16th,Lupita Godinez,Luana Carolina,-225▼,-240▼
16,UFC Fight Night: Ladd vs. Dumont,October 16th,Brandon Davis,Danaa Batgerel,+117▼,+112▼
17,UFC Fight Night: Ladd vs. Dumont,October 16th,Danaa Batgerel,Brandon Davis,-137▼,-132▲
18,UFC Fight Night: Ladd vs. Dumont,October 16th,Ariane Carnelossi,Istela Nunes,-135▼,-142▲
19,UFC Fight Night: Ladd vs. Dumont,October 16th,Istela Nunes,Ariane Carnelossi,+115▼,+122▼
0,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Aspen Ladd,Germaine DeRandamie,-120▼,-111▼
1,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Germaine DeRandamie,Aspen Ladd,+100▼,-109▲
2,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Ricky Simon,Urijah Faber,-355▼,-345▼
3,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Urijah Faber,Ricky Simon,+320▲,+285▲
4,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Darren Elkins,Ryan Hall,-115▼,-105▲
5,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Ryan Hall,Darren Elkins,-105▼,-115▼
6,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Josh Emmett,Mirsad Bektic,+150▼,+141▼
7,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Mirsad Bektic,Josh Emmett,-170▼,-161▲
8,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Karl Roberson,Wellington Turman,-220▼,-210▲
9,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Wellington Turman,Karl Roberson,+180▼,+180▼
10,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Cezar Ferreira,Marvin Vettori,+180▼,+170▼
11,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Marvin Vettori,Cezar Ferreira,-220▼,-200▲
12,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,John Allan,Mike Rodriguez,+340▼,+350▼
13,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Mike Rodriguez,John Allan,-425▼,-450▲
14,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Andre Fili,Sheymon Moraes,-160▼,-153▲
15,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Sheymon Moraes,Andre Fili,+140▼,+133▼
16,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Julianna Pena,Nicco Montano,-250▼,-250▲
17,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Nicco Montano,Julianna Pena,+210▼,+210▼
18,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Jonathan Martinez,Liu Pingyuan,+180▼,+157▼
19,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Liu Pingyuan,Jonathan Martinez,-220▼,-182▲
20,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Benito Lopez,Vince Morales,-105▼,-105▲
21,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Vince Morales,Benito Lopez,-105▲,-115▼
0,UFC Fight Night: Smith vs. Spann,September 18th,Anthony Smith,Ryan Spann,-140▼,-150▲
1,UFC Fight Night: Smith vs. Spann,September 18th,Ryan Spann,Anthony Smith,+120▼,+130▼
2,UFC Fight Night: Smith vs. Spann,September 18th,Devin Clark,Ion Curelaba,+150▼,+153▼
3,UFC Fight Night: Smith vs. Spann,September 18th,Ion Curelaba,Devin Clark,-170▼,-178▲
4,UFC Fight Night: Smith vs. Spann,September 18th,Ariane Lipski,Mandy Bohm,-130▼,-131▼
5,UFC Fight Night: Smith vs. Spann,September 18th,Mandy Bohm,Ariane Lipski,+110▼,+111▲
6,UFC Fight Night: Smith vs. Spann,September 18th,Arman Tsarukyan,Christos Giagos,-800▼,-1000▲
7,UFC Fight Night: Smith vs. Spann,September 18th,Christos Giagos,Arman Tsarukyan,+550▼,+600▼
8,UFC Fight Night: Smith vs. Spann,September 18th,Nate Maness,Tony Gravely,+160▼,+169▲
9,UFC Fight Night: Smith vs. Spann,September 18th,Tony Gravely,Nate Maness,-185▼,-194▼
10,UFC Fight Night: Smith vs. Spann,September 18th,Jp Buys.,Montel Jackson,+475▼,+450▼
11,UFC Fight Night: Smith vs. Spann,September 18th,Montel Jackson,Jp Buys.,-650▼,-700▲
12,UFC Fight Night: Smith vs. Spann,September 18th,Antonio Arroyo,Joaquin Buckley,+147▼,+153▲
13,UFC Fight Night: Smith vs. Spann,September 18th,Joaquin Buckley,Antonio Arroyo,-167▼,-178▼
14,UFC Fight Night: Smith vs. Spann,September 18th,Mike Rodriguez,Tafon Nchukwi,+107▼,+103▲
15,UFC Fight Night: Smith vs. Spann,September 18th,Tafon Nchukwi,Mike Rodriguez,-127▼,-123▼
16,UFC Fight Night: Smith vs. Spann,September 18th,Pannie Kianzad,Raquel Pennington,+117▼,+112▼
17,UFC Fight Night: Smith vs. Spann,September 18th,Raquel Pennington,Pannie Kianzad,-137▼,-132▲
18,UFC Fight Night: Smith vs. Spann,September 18th,Brandon Jenkins,Zhu Rong,+175▼,+170▼
19,UFC Fight Night: Smith vs. Spann,September 18th,Zhu Rong,Brandon Jenkins,-210▼,-200▲
20,UFC Fight Night: Smith vs. Spann,September 18th,Erin Blanchfield,Sarah Alpar,-430▼,-445▲
21,UFC Fight Night: Smith vs. Spann,September 18th,Sarah Alpar,Erin Blanchfield,+345▼,+345▼
22,UFC Fight Night: Smith vs. Spann,September 18th,Carlston Harris,Impa Kasanganay,-120▼,-117▼
23,UFC Fight Night: Smith vs. Spann,September 18th,Impa Kasanganay,Carlston Harris,+100▼,-103▲
24,UFC Fight Night: Smith vs. Spann,September 18th,Gustavo Lopez,Heili Alateng,+110▼,+118▲
25,UFC Fight Night: Smith vs. Spann,September 18th,Heili Alateng,Gustavo Lopez,-130,-138▼
26,UFC Fight Night: Smith vs. Spann,September 18th,Emily Whitmire,Hannah Goldy,-127▼,-127▲
27,UFC Fight Night: Smith vs. Spann,September 18th,Hannah Goldy,Emily Whitmire,+107▼,+107▼
0,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Anthony Smith,Mauricio Rua,-150▼,-142▲
1,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Mauricio Rua,Anthony Smith,+130▼,+122▼
2,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Corey Anderson,Glover Teixeira,+100▼,+105▼
3,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Glover Teixeira,Corey Anderson,-120▼,-125▲
4,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Abu Azaitar,Vitor Miranda,-210▼,-200▼
5,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Vitor Miranda,Abu Azaitar,+175▼,+170▲
6,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Marcin Tybura,Stefan Struve,-190▼,-193▲
7,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Stefan Struve,Marcin Tybura,+165▼,+168▼
8,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Marc Diakiese,Nasrat Haqparast,-160▼,-175▼
9,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Nasrat Haqparast,Marc Diakiese,+140▼,+150▲
10,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Danny Roberts,David Zawada,-210▼,-205▲
11,UFC Fight Night 134: Shogun vs. Smith,July 22nd,David Zawada,Danny Roberts,+175▼,+175▼
12,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Damir Hadzovic,Nick Hein,+130▼,+143▲
13,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Nick Hein,Damir Hadzovic,-150▼,-163▼
14,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Bartosz Fabinski,Emil Meek,+120▼,+128▼
15,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Emil Meek,Bartosz Fabinski,-140▼,-148▲
16,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Khalid Taha,Nad Narimani,+180▼,+220▲
17,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Nad Narimani,Khalid Taha,-220▼,-260▼
18,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Aleksandar Rakic,Justin Ledet,-115▼,+100▼
19,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Justin Ledet,Aleksandar Rakic,-105▼,-120▲
20,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Davey Grant,Manny Bermudez,+260▼,+235▲
21,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Manny Bermudez,Davey Grant,-320▼,-275▼
22,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Darko Stosic,Jeremy Kimball,-230▼,-260▲
23,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Jeremy Kimball,Darko Stosic,+190▼,+220▼
24,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Damian Stasiak,Pingyuan Liu,-125▼,-107▼
25,UFC Fight Night 134: Shogun vs. Smith,July 22nd,Pingyuan Liu,Damian Stasiak,+105▼,-113▲
0,UFC Fight Night 138: Volkan vs. Smith,October 27th,Anthony Smith,Volkan Oezdemir,+140▼,+137▲
1,UFC Fight Night 138: Volkan vs. Smith,October 27th,Volkan Oezdemir,Anthony Smith,-160▼,-157▼
2,UFC Fight Night 138: Volkan vs. Smith,October 27th,Artem Lobov,Michael Johnson,+500▼,+445▼
3,UFC Fight Night 138: Volkan vs. Smith,October 27th,Michael Johnson,Artem Lobov,-700▼,-575▲
4,UFC Fight Night 138: Volkan vs. Smith,October 27th,Misha Cirkunov,Patrick Cummins,-345▼,-350▼
5,UFC Fight Night 138: Volkan vs. Smith,October 27th,Patrick Cummins,Misha Cirkunov,+285▼,+285▲
6,UFC Fight Night 138: Volkan vs. Smith,October 27th,Andre Soukhamthath,Jonathan Martinez,-140▼,-149▲
7,UFC Fight Night 138: Volkan vs. Smith,October 27th,Jonathan Martinez,Andre Soukhamthath,+120▼,+129▼
8,UFC Fight Night 138: Volkan vs. Smith,October 27th,Ed Herman,Gian Villante,+195▼,+185▲
9,UFC Fight Night 138: Volkan vs. Smith,October 27th,Gian Villante,Ed Herman,-235▼,-220▼
10,UFC Fight Night 138: Volkan vs. Smith,October 27th,Alex Garcia,Court McGee,-245▼,-240▼
11,UFC Fight Night 138: Volkan vs. Smith,October 27th,Court McGee,Alex Garcia,+205▼,+205▲
12,UFC Fight Night 138: Volkan vs. Smith,October 27th,Nordine Taleb,Sean Strickland,-120▼,-128▼
13,UFC Fight Night 138: Volkan vs. Smith,October 27th,Sean Strickland,Nordine Taleb,+100▼,+108▲
14,UFC Fight Night 138: Volkan vs. Smith,October 27th,Nasrat Haqparast,Thibault Gouti,-750▲,-750▼
15,UFC Fight Night 138: Volkan vs. Smith,October 27th,Thibault Gouti,Nasrat Haqparast,+600▲,+550▲
16,UFC Fight Night 138: Volkan vs. Smith,October 27th,Calvin Kattar,Chris Fishgold,-200,-202▲
17,UFC Fight Night 138: Volkan vs. Smith,October 27th,Chris Fishgold,Calvin Kattar,+170▼,+172▼
18,UFC Fight Night 138: Volkan vs. Smith,October 27th,Sarah Moras,Talita Bernardo,-170▼,-172▲
19,UFC Fight Night 138: Volkan vs. Smith,October 27th,Talita Bernardo,Sarah Moras,+150▼,+147▼
20,UFC Fight Night 138: Volkan vs. Smith,October 27th,Don Madge,Te Edwards,+360▼,+375▲
21,UFC Fight Night 138: Volkan vs. Smith,October 27th,Te Edwards,Don Madge,-450▼,-475▼
22,UFC Fight Night 138: Volkan vs. Smith,October 27th,Arjan Bhullar,Marcelo Golm,-160▼,-160▲
23,UFC Fight Night 138: Volkan vs. Smith,October 27th,Marcelo Golm,Arjan Bhullar,+140▼,+140▼
24,UFC Fight Night 138: Volkan vs. Smith,October 27th,Jessin Ayari,Stevie Ray,+140▼,+140▼
25,UFC Fight Night 138: Volkan vs. Smith,October 27th,Stevie Ray,Jessin Ayari,-160▼,-160▲
0,UFC Fight Night 118: Cerrone vs. Till,October 21st,Darren Till,Donald Cerrone,+130▼,+127▼
1,UFC Fight Night 118: Cerrone vs. Till,October 21st,Donald Cerrone,Darren Till,-150▼,-147▲
2,UFC Fight Night 118: Cerrone vs. Till,October 21st,Jodie Esquibel,Karolina Kowalkiewicz,+450▼,+470▲
3,UFC Fight Night 118: Cerrone vs. Till,October 21st,Karolina Kowalkiewicz,Jodie Esquibel,-600▲,-620▼
4,UFC Fight Night 118: Cerrone vs. Till,October 21st,Devin Clark,Jan Blachowicz,-150▼,-150▲
5,UFC Fight Night 118: Cerrone vs. Till,October 21st,Jan Blachowicz,Devin Clark,+130▼,+130▼
6,UFC Fight Night 118: Cerrone vs. Till,October 21st,Jonathan Wilson,Oskar Piechota,+180▼,+180▼
7,UFC Fight Night 118: Cerrone vs. Till,October 21st,Oskar Piechota,Jonathan Wilson,-220▼,-210▲
8,UFC Fight Night 118: Cerrone vs. Till,October 21st,Marcin Held,Nasrat Haqparast,-355▼,-370▲
9,UFC Fight Night 118: Cerrone vs. Till,October 21st,Nasrat Haqparast,Marcin Held,+295▼,+305▼
10,UFC Fight Night 118: Cerrone vs. Till,October 21st,Brian Kelleher,Damian Stasiak,-105▼,-110▲
11,UFC Fight Night 118: Cerrone vs. Till,October 21st,Damian Stasiak,Brian Kelleher,-115▼,-110▼
12,UFC Fight Night 118: Cerrone vs. Till,October 21st,Ramazan Emeev,Sam Alvey,-150▼,-155▼
13,UFC Fight Night 118: Cerrone vs. Till,October 21st,Sam Alvey,Ramazan Emeev,+130▼,+135▲
14,UFC Fight Night 118: Cerrone vs. Till,October 21st,Andre Fili,Artem Lobov,-170▼,-164▲
15,UFC Fight Night 118: Cerrone vs. Till,October 21st,Artem Lobov,Andre Fili,+150▼,+144▼
16,UFC Fight Night 118: Cerrone vs. Till,October 21st,Salim Touahri,Warlley Alves,+250▼,+255▲
17,UFC Fight Night 118: Cerrone vs. Till,October 21st,Warlley Alves,Salim Touahri,-300▼,-305▼
18,UFC Fight Night 118: Cerrone vs. Till,October 21st,Aspen Ladd,Lina Lansberg,-240▼,-250▲
19,UFC Fight Night 118: Cerrone vs. Till,October 21st,Lina Lansberg,Aspen Ladd,+200▼,+210▼
20,UFC Fight Night 118: Cerrone vs. Till,October 21st,Felipe Arantes,Josh Emmett,+200▼,+200▼
21,UFC Fight Night 118: Cerrone vs. Till,October 21st,Josh Emmett,Felipe Arantes,-240▼,-235▲
0,UFC 228: Woodley vs. Till,September 8th,Darren Till,Tyron Woodley,-115▼,-110▼
1,UFC 228: Woodley vs. Till,September 8th,Tyron Woodley,Darren Till,-105▼,-110▲
2,UFC 228: Woodley vs. Till,September 8th,Jessica Andrade,Karolina Kowalkiewicz,-450▼,-450▼
3,UFC 228: Woodley vs. Till,September 8th,Karolina Kowalkiewicz,Jessica Andrade,+360▼,+350▲
4,UFC 228: Woodley vs. Till,September 8th,Brandon Davis,Zabit Magomedsharipov,+900▼,+899▲
5,UFC 228: Woodley vs. Till,September 8th,Zabit Magomedsharipov,Brandon Davis,-1375▼,-1449▼
6,UFC 228: Woodley vs. Till,September 8th,Jimmie Rivera,John Dodson,-150▼,-148▼
7,UFC 228: Woodley vs. Till,September 8th,John Dodson,Jimmie Rivera,+130▼,+128▲
8,UFC 228: Woodley vs. Till,September 8th,AbdulRazak Alhassan,Niko Price,-110▼,-110▲
9,UFC 228: Woodley vs. Till,September 8th,Niko Price,AbdulRazak Alhassan,-110▼,-110▼
10,UFC 228: Woodley vs. Till,September 8th,Carla Esparza,Tatiana Suarez,+335▼,+330▼
11,UFC 228: Woodley vs. Till,September 8th,Tatiana Suarez,Carla Esparza,-420▼,-400▲
12,UFC 228: Woodley vs. Till,September 8th,Aljamain Sterling,Cody Stamann,-170▼,-173▲
13,UFC 228: Woodley vs. Till,September 8th,Cody Stamann,Aljamain Sterling,+150▼,+148▼
14,UFC 228: Woodley vs. Till,September 8th,Frank Camacho,Geoff Neal,+175▼,+190▲
15,UFC 228: Woodley vs. Till,September 8th,Geoff Neal,Frank Camacho,-210▼,-225▼
16,UFC 228: Woodley vs. Till,September 8th,Charles Byrd,Darren Stewart,-170▼,-178▼
17,UFC 228: Woodley vs. Till,September 8th,Darren Stewart,Charles Byrd,+150▼,+153▲
18,UFC 228: Woodley vs. Till,September 8th,Craig White,Diego Sanchez,-210▼,-207▼
19,UFC 228: Woodley vs. Till,September 8th,Diego Sanchez,Craig White,+175▲,+177▲
20,UFC 228: Woodley vs. Till,September 8th,Alex White,Jim Miller,-175▼,-185▼
21,UFC 228: Woodley vs. Till,September 8th,Jim Miller,Alex White,+155▼,+160▲
22,UFC 228: Woodley vs. Till,September 8th,Irene Aldana,Lucie Pudilova,-110▼,-110▲
23,UFC 228: Woodley vs. Till,September 8th,Lucie Pudilova,Irene Aldana,-110▼,-110▼
24,UFC 228: Woodley vs. Till,September 8th,Jarred Brooks,Roberto Sanchez,-190▲,-300▲
25,UFC 228: Woodley vs. Till,September 8th,Roberto Sanchez,Jarred Brooks,+175▼,+250▼
0,UFC Fight Night 128: Barboza vs. Lee,April 21st,Edson Barboza,Kevin Lee,+145▼,+141▲
1,UFC Fight Night 128: Barboza vs. Lee,April 21st,Kevin Lee,Edson Barboza,-165▼,-161▼
2,UFC Fight Night 128: Barboza vs. Lee,April 21st,Cub Swanson,Frankie Edgar,+235▼,+265▲
3,UFC Fight Night 128: Barboza vs. Lee,April 21st,Frankie Edgar,Cub Swanson,-275▼,-315▼
4,UFC Fight Night 128: Barboza vs. Lee,April 21st,Chase Sherman,Justin Willis,+245▼,+250▲
5,UFC Fight Night 128: Barboza vs. Lee,April 21st,Justin Willis,Chase Sherman,-290▼,-300▼
6,UFC Fight Night 128: Barboza vs. Lee,April 21st,David Branch,Thiago Santos,+140▼,+144▲
7,UFC Fight Night 128: Barboza vs. Lee,April 21st,Thiago Santos,David Branch,-160▼,-164▼
8,UFC Fight Night 128: Barboza vs. Lee,April 21st,Aljamain Sterling,Brett Johns,-115▼,-110▼
9,UFC Fight Night 128: Barboza vs. Lee,April 21st,Brett Johns,Aljamain Sterling,-105▼,-110▲
10,UFC Fight Night 128: Barboza vs. Lee,April 21st,Dan Hooker,Jim Miller,-300▼,-305▼
11,UFC Fight Night 128: Barboza vs. Lee,April 21st,Jim Miller,Dan Hooker,+250▼,+255▲
12,UFC Fight Night 128: Barboza vs. Lee,April 21st,Alex Garcia,Ryan Laflare,+130▼,+130▲
13,UFC Fight Night 128: Barboza vs. Lee,April 21st,Ryan Laflare,Alex Garcia,-150▼,-150▼
14,UFC Fight Night 128: Barboza vs. Lee,April 21st,Merab Dvalishvili,Ricky Simon,-110▼,-110▼
15,UFC Fight Night 128: Barboza vs. Lee,April 21st,Ricky Simon,Merab Dvalishvili,-110▼,-110▲
16,UFC Fight Night 128: Barboza vs. Lee,April 21st,Luan Chagas,Siyar Bahadurzada,-170▼,-176▼
17,UFC Fight Night 128: Barboza vs. Lee,April 21st,Siyar Bahadurzada,Luan Chagas,+150▼,+151▲
18,UFC Fight Night 128: Barboza vs. Lee,April 21st,Keita Nakamura,Tony Martin,+170▼,+178▼
19,UFC Fight Night 128: Barboza vs. Lee,April 21st,Tony Martin,Keita Nakamura,-200▼,-208▲
20,UFC Fight Night 128: Barboza vs. Lee,April 21st,Corey Anderson,Patrick Cummins,-165▼,-164▼
21,UFC Fight Night 128: Barboza vs. Lee,April 21st,Patrick Cummins,Corey Anderson,+145▼,+144▲
0,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Kelvin Gastelum,Michael Bisping,-285▼,-265▲
1,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Michael Bisping,Kelvin Gastelum,+243▼,+225▼
2,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Alex Garcia,Muslim Salikhov,+180▼,+200▲
3,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Muslim Salikhov,Alex Garcia,-220▼,-235▼
4,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Sheymon Moraes,Zabit Magomedsharipov,+400▼,+350▼
5,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Zabit Magomedsharipov,Sheymon Moraes,-500▼,-450▲
6,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Kailin Curran,Xiaonan Yan,+120▼,+135▼
7,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Xiaonan Yan,Kailin Curran,-140▼,-155▲
8,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Bharat Khandare,Yadong Song,+140▼,+150▲
9,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Yadong Song,Bharat Khandare,-160▼,-175▼
10,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Li Jingliang,Zak Ottow,-200▼,-210▲
11,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Zak Ottow,Li Jingliang,+170▼,+180▼
12,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Gina Mazany,Yanan Wu,+120▲,+118▼
13,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Yanan Wu,Gina Mazany,-130▼,-138▲
14,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Alex Caceres,Wang Guan,-140▼,-130▲
15,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Wang Guan,Alex Caceres,+120▼,+110▼
16,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Chase Sherman,Shamil Abdurakhimov,+105▼,+120▲
17,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Shamil Abdurakhimov,Chase Sherman,-125▼,-140▼
18,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Rolando Dy,Wuliji Buren,-150▼,-150▲
19,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Wuliji Buren,Rolando Dy,+140▲,+130▼
20,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Cyril Asker,Hu Yaozong,-250▼,-228▲
21,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Hu Yaozong,Cyril Asker,+210▼,+193▼
22,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Bobby Nash,Kenan Song,-300▼,-335▼
23,UFC Fight Night 122: Bisping vs. Gastelum,November 25th,Kenan Song,Bobby Nash,+250▼,+275
0,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Kelvin Gastelum,Vitor Belfort,-345▼,-400▼
1,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Vitor Belfort,Kelvin Gastelum,+285▼,+330▲
2,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Gian Villante,Mauricio Rua,+135▼,+139▲
3,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Mauricio Rua,Gian Villante,-155▼,-159▼
4,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Beneil Dariush,Edson Barboza,+140▼,+143▲
5,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Edson Barboza,Beneil Dariush,-160▼,-163▼
6,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Jussier Formiga,Ray Borg,+110▼,+105▲
7,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Ray Borg,Jussier Formiga,-130▼,-125▼
8,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Bethe Correia,Marion Reneau,-110▲,-110▼
9,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Marion Reneau,Bethe Correia,-110▼,-110▲
10,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Alex Oliveira,Tim Means,+175▲,+175▼
11,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Tim Means,Alex Oliveira,-210▼,-205▲
12,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Francisco Trinaldo,Kevin Lee,+150▼,+145▼
13,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Kevin Lee,Francisco Trinaldo,-170▼,-170▲
14,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Davi Ramos,Sergio Moraes,+170▼,+170▼
15,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Sergio Moraes,Davi Ramos,-200▲,-195▲
16,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Joe Soto,Rani Yahya,+200▲,+210▲
17,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Rani Yahya,Joe Soto,-240▼,-245▼
18,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Josh Burkman,Michel Prazeres,+250▲,+255▲
19,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Michel Prazeres,Josh Burkman,-300▼,-305▼
20,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Jeremy Kennedy,Rony Jason,-125▼,-130▼
21,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Rony Jason,Jeremy Kennedy,+105▲,+110▲
22,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Garreth McLellan,Paulo Costa,+280▲,+270▲
23,UFC Fight Night 106: Belfort vs. Gastelum,March 11th,Paulo Costa,Garreth McLellan,-340▼,-320▼
0,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Kelvin Gastelum,Neil Magny,-330▼,-330▼
1,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Neil Magny,Kelvin Gastelum,+270▼,+270▲
2,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Diego Sanchez,Ricardo Lamas,+350▼,+350▼
3,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Ricardo Lamas,Diego Sanchez,-440▼,-450▲
4,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Henry Cejudo,Jussier Formiga,-550▼,-500▲
5,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Jussier Formiga,Henry Cejudo,+425▼,+385▼
6,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Enrique Marin,Erick Montano,-230▼,-210▼
7,UFC Fight Night 78: Magny vs. Gastelum,November 21st,Erick Montano,Enrique Marin,+190▼,+180▲
